Thread  	Address                 	Instruction                     	Result                                  	
0000DEAD	ROM:sub_C584+20         	STRMI.W         R2, [R0,#0x84]  	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_C584+24         	STRPL.W         R2, [R0,#0x88]  	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_C584+28         	LSLS            R3, R1, #0x19   	R3=04000000                             	
0000DEAD	ROM:sub_C584+2A         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
0000DEAD	ROM:sub_C584+2C         	STRMI.W         R2, [R0,#0xC4]  	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_C584+30         	STRPL.W         R2, [R0,#0xC8]  	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_C584+34         	LSLS            R3, R1, #0x18   	R3=02000000                             	
0000DEAD	ROM:sub_C584+36         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
0000DEAD	ROM:sub_C584+38         	STRMI.W         R2, [R0,#0x104] 	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_C584+3C         	STRPL.W         R2, [R0,#0x108] 	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_C584+40         	LSLS            R3, R1, #0x1F   	R3=00000000 C=1 Z=1                     	
0000DEAD	ROM:sub_C584+42         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
0000DEAD	ROM:sub_C584+44         	STRMI           R2, [R0,#0x14]  	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_C584+46         	STRPL           R2, [R0,#0x18]  	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_C584+48         	LSLS            R3, R1, #0x1E   	R3=80000000 C=0 Z=0 N=1                 	
0000DEAD	ROM:sub_C584+4A         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
0000DEAD	ROM:sub_C584+4C         	STRMI           R2, [R0,#0x24]  	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_C584+4E         	STRPL           R2, [R0,#0x28]  	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_C584+50         	LSLS            R1, R1, #0x1D   	R1=40000000 N=0                         	
0000DEAD	ROM:sub_C584+52         	BPL             loc_C5DC        	                                        	
0000DEAD	ROM:sub_C584:loc_C5DC   	STR             R2, [R0,#0x38]  	                                        	
0000DEAD	ROM:sub_C584+5A         	BX              LR              	                                        	
0000DEAD	ROM:sub_C60A+C          	LDR             R0, =unk_400E1008	R0=400E1008                             	
0000DEAD	ROM:sub_C60A+E          	MOVS            R1, #0x10       	R1=00000010                             	
0000DEAD	ROM:sub_C60A+10         	STR             R1, [R0,#(unk_400E1078 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+12         	STR.W           R1, [R0,#(unk_400E1088 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+16         	STR.W           R1, [R0,#(unk_400E10C8 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+1A         	STR.W           R1, [R0,#(unk_400E1108 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+1E         	STR             R1, [R0,#(unk_400E1018 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+20         	STR             R1, [R0,#(unk_400E1028 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+22         	STR             R1, [R0,#(unk_400E1038 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+24         	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_C60A+26         	MOV.W           R1, #0x2000000  	R1=02000000                             	
0000DEAD	ROM:sub_C60A+2A         	STR             R1, [R0,#(unk_400E1078 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+2C         	STR.W           R1, [R0,#(unk_400E1088 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+30         	STR.W           R1, [R0,#(unk_400E10C8 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+34         	STR.W           R1, [R0,#(unk_400E1108 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+38         	STR             R1, [R0,#(unk_400E1018 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+3A         	STR             R1, [R0,#(unk_400E1028 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+3C         	STR             R1, [R0,#(unk_400E1038 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+3E         	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_C60A+40         	MOV.W           R1, #0x4000000  	R1=04000000                             	
0000DEAD	ROM:sub_C60A+44         	STR             R1, [R0,#(unk_400E1078 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+46         	STR.W           R1, [R0,#(unk_400E1088 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+4A         	STR.W           R1, [R0,#(unk_400E10C8 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+4E         	STR.W           R1, [R0,#(unk_400E1108 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+52         	STR             R1, [R0,#(unk_400E1018 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+54         	STR             R1, [R0,#(unk_400E1028 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+56         	STR             R1, [R0,#(unk_400E1038 - 0x400E1008)]	                                        	
0000DEAD	ROM:sub_C60A+58         	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_C60A+5A         	ADD             SP, SP, #4      	SP=20001384 MSP=20001384                	
0000DEAD	ROM:sub_C60A+5C         	POP             {PC}            	SP=20001388 MSP=20001388                	
0000DEAD	ROM:sub_B0D2+48         	MOVS            R1, #1          	R1=00000001                             	
0000DEAD	ROM:sub_B0D2+4A         	LDR.W           R4, =unk_400F0000	R4=400F0000                             	
0000DEAD	ROM:sub_B0D2+4E         	MOV             R0, R4          	R0=400F0000                             	
0000DEAD	ROM:sub_B0D2+50         	BL              sub_C14E        	LR=0000B127                             	
0000DEAD	ROM:sub_C14E            	LDR             R2, [R0,#0x1C]  	R2=00010009                             	
0000DEAD	ROM:sub_C14E+2          	CMP             R1, #0          	C=1                                     	
0000DEAD	ROM:sub_C14E+4          	ITE EQ                          	IT[3:2]=3                               	
0000DEAD	ROM:sub_C14E+6          	BICEQ.W         R1, R2, #0x10000	IT[3:2]=2 IT[7:4]=1                     	
0000DEAD	ROM:sub_C14E+A          	ORRNE.W         R1, R2, #0x10000	R1=00010009 IT[3:2]=0 IT[7:4]=0         	
0000DEAD	ROM:sub_C14E+E          	LDR             R3, =unk_400F0018	R3=400F0018                             	
0000DEAD	ROM:sub_C14E+10         	LDR             R2, =0xAA00001C 	R2=AA00001C                             	
0000DEAD	ROM:sub_C14E+12         	STR             R2, [R3]        	                                        	
0000DEAD	ROM:sub_C14E+14         	STR             R1, [R0,#0x1C]  	                                        	
0000DEAD	ROM:sub_C14E+16         	BX              LR              	                                        	
0000DEAD	ROM:sub_B0D2+54         	MOVS            R0, #1          	R0=00000001                             	
0000DEAD	ROM:sub_B0D2+56         	STRB.W          R0, [SP,#0x18+var_14]	                                        	
0000DEAD	ROM:sub_B0D2+5A         	MOVS            R0, #0          	R0=00000000 Z=1                         	
0000DEAD	ROM:sub_B0D2+5C         	STRB.W          R0, [SP,#0x18+var_18]	                                        	
0000DEAD	ROM:sub_B0D2+60         	MOVS            R0, #1          	R0=00000001 Z=0                         	
0000DEAD	ROM:sub_B0D2+62         	STRB.W          R0, [SP,#0x18+var_16]	                                        	
0000DEAD	ROM:sub_B0D2+66         	MOVS            R0, #0          	R0=00000000 Z=1                         	
0000DEAD	ROM:sub_B0D2+68         	STRB.W          R0, [SP,#0x18+var_17]	                                        	
0000DEAD	ROM:sub_B0D2+6C         	MOVS            R0, #1          	R0=00000001 Z=0                         	
0000DEAD	ROM:sub_B0D2+6E         	STRB.W          R0, [SP,#0x18+var_15]	                                        	
0000DEAD	ROM:sub_B0D2+72         	ADD             R2, SP, #0x18+var_18	R2=20001388                             	
0000DEAD	ROM:sub_B0D2+74         	LDR.W           R5, =unk_400F1000	R5=400F1000                             	
0000DEAD	ROM:sub_B0D2+78         	MOVS            R1, #0          	R1=00000000 Z=1                         	
0000DEAD	ROM:sub_B0D2+7A         	MOV             R0, R5          	R0=400F1000                             	
0000DEAD	ROM:sub_B0D2+7C         	BL              sub_D684        	LR=0000B153                             	
0000DEAD	ROM:sub_D684            	MOVS            R3, #1          	R3=00000001 Z=0                         	
0000DEAD	ROM:sub_D684+2          	LSL.W           R1, R3, R1      	R1=00000001                             	
0000DEAD	ROM:sub_D684+6          	LDRB.W          R12, [R2]       	R12=00000000                            	
0000DEAD	ROM:sub_D684+A          	MVNS            R3, R1          	R3=FFFFFFFE N=1                         	
0000DEAD	ROM:sub_D684+C          	CMP.W           R12, #1         	C=0                                     	
0000DEAD	ROM:sub_D684+10         	LDR.W           R12, [R0,#0x14] 	                                        	
0000DEAD	ROM:sub_D684+14         	ITE EQ                          	IT[3:2]=3                               	
0000DEAD	ROM:sub_D684+16         	ORREQ.W         R12, R1, R12    	IT[3:2]=2 IT[7:4]=1                     	
0000DEAD	ROM:sub_D684+1A         	ANDNE.W         R12, R3, R12    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D684+1E         	STR.W           R12, [R0,#0x14] 	                                        	
0000DEAD	ROM:sub_D684+22         	LDRB.W          R12, [R2,#1]    	                                        	
0000DEAD	ROM:sub_D684+26         	CMP.W           R12, #1         	                                        	
0000DEAD	ROM:sub_D684+2A         	LDR.W           R12, [R0,#0x18] 	                                        	
0000DEAD	ROM:sub_D684+2E         	ITE EQ                          	IT[3:2]=3                               	
0000DEAD	ROM:sub_D684+30         	ORREQ.W         R12, R1, R12    	IT[3:2]=2 IT[7:4]=1                     	
0000DEAD	ROM:sub_D684+34         	ANDNE.W         R12, R3, R12    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D684+38         	STR.W           R12, [R0,#0x18] 	                                        	
0000DEAD	ROM:sub_D684+3C         	LDRB.W          R12, [R2,#2]    	R12=00000001                            	
0000DEAD	ROM:sub_D684+40         	CMP.W           R12, #1         	C=1 Z=1 N=0                             	
0000DEAD	ROM:sub_D684+44         	LDR.W           R12, [R0,#0x1C] 	R12=00000000                            	
0000DEAD	ROM:sub_D684+48         	ITE EQ                          	IT[3:2]=3                               	
0000DEAD	ROM:sub_D684+4A         	ORREQ.W         R12, R1, R12    	R12=00000001 IT[3:2]=2 IT[7:4]=1        	
0000DEAD	ROM:sub_D684+4E         	ANDNE.W         R12, R3, R12    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D684+52         	STR.W           R12, [R0,#0x1C] 	                                        	
0000DEAD	ROM:sub_D684+56         	LDRB.W          R12, [R2,#3]    	                                        	
0000DEAD	ROM:sub_D684+5A         	CMP.W           R12, #1         	                                        	
0000DEAD	ROM:sub_D684+5E         	LDR.W           R12, [R0,#0x20] 	R12=00000000                            	
0000DEAD	ROM:sub_D684+62         	ITE EQ                          	IT[3:2]=3                               	
0000DEAD	ROM:sub_D684+64         	ORREQ.W         R12, R1, R12    	R12=00000001 IT[3:2]=2 IT[7:4]=1        	
0000DEAD	ROM:sub_D684+68         	ANDNE.W         R12, R3, R12    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D684+6C         	STR.W           R12, [R0,#0x20] 	                                        	
0000DEAD	ROM:sub_D684+70         	LDRB            R2, [R2,#4]     	R2=00000001                             	
0000DEAD	ROM:sub_D684+72         	CMP             R2, #1          	                                        	
0000DEAD	ROM:sub_D684+74         	ITTEE EQ                        	IT[3:2]=1 IT[1:0]=3                     	
0000DEAD	ROM:sub_D684+76         	LDREQ           R2, [R0,#0x28]  	R2=00000000 IT[3:2]=3 IT[1:0]=2         	
0000DEAD	ROM:sub_D684+78         	ORREQ           R1, R2          	IT[7:4]=1 IT[1:0]=0                     	
0000DEAD	ROM:sub_D684+7A         	LDRNE           R1, [R0,#0x28]  	IT[3:2]=2                               	
0000DEAD	ROM:sub_D684+7C         	ANDNE           R1, R3          	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D684+7E         	STR             R1, [R0,#0x28]  	                                        	
0000DEAD	ROM:sub_D684+80         	BX              LR              	                                        	
0000DEAD	ROM:sub_B0D2+80         	MOV             R0, R5          	                                        	
0000DEAD	ROM:sub_B0D2+82         	BL              sub_D706        	LR=0000B159                             	
0000DEAD	ROM:sub_D706            	B.W             sub_CF3A        	R1=400F0C00 SP=20001378 Z=0 MSP=20001378	
0000DEAD	ROM:sub_CF3A+18E        	LDR.W           R1, =0x400F1000 	R1=400F1000                             	
0000DEAD	ROM:sub_CF3A+192        	CMP             R0, R1          	Z=1                                     	
0000DEAD	ROM:sub_CF3A+194        	BEQ.W           loc_D296        	                                        	
0000DEAD	ROM:sub_CF3A:loc_D296   	MOVS            R1, #4          	R1=00000004 Z=0                         	
0000DEAD	ROM:sub_CF3A+35E        	MOVS            R0, #5          	R0=00000005                             	
0000DEAD	ROM:sub_CF3A+360        	B               loc_D0E2        	R1=00000037 R2=00000001 R3=200003A5 SP=20001388 C=0 MSP=20001388	
0000DEAD	ROM:sub_B0D2+86         	MOVS            R0, #1          	R0=00000001                             	
0000DEAD	ROM:sub_B0D2+88         	STR             R0, [R5,#(unk_400F1030 - 0x400F1000)]	                                        	
0000DEAD	ROM:sub_B0D2+8A         	MOV             R0, R4          	R0=400F0000                             	
0000DEAD	ROM:sub_B0D2+8C         	BL              sub_C13E        	LR=0000B163                             	
0000DEAD	ROM:sub_C13E            	LDR             R1, [R0,#0x1C]  	R1=00010009                             	
0000DEAD	ROM:sub_C13E+2          	LDR             R3, =unk_400F0018	R3=400F0018                             	
0000DEAD	ROM:sub_C13E+4          	LDR             R2, =0xAA00001C 	R2=AA00001C                             	
0000DEAD	ROM:sub_C13E+6          	STR             R2, [R3]        	                                        	
0000DEAD	ROM:sub_C13E+8          	ORR.W           R1, R1, #0x1000000	R1=01010009                             	
0000DEAD	ROM:sub_C13E+C          	STR             R1, [R0,#0x1C]  	                                        	
0000DEAD	ROM:sub_C13E+E          	BX              LR              	                                        	
0000DEAD	ROM:sub_B0D2+90         	LDR.W           R4, =unk_20000DA8	R4=20000DA8                             	
0000DEAD	ROM:sub_B0D2+94         	MOVS            R1, #7          	R1=00000007                             	
0000DEAD	ROM:sub_B0D2+96         	MOV             R0, R4          	R0=20000DA8                             	
0000DEAD	ROM:sub_B0D2+98         	BL              sub_D70C        	LR=0000B16F                             	
0000DEAD	ROM:sub_D70C            	MOVS            R2, #0          	R2=00000000 Z=1                         	
0000DEAD	ROM:sub_D70C+2          	B.W             loc_FB08        	                                        	
0000DEAD	ROM:sub_D70C:loc_FB08   	ADDS            R0, R0, R1      	R0=20000DAF Z=0                         	
0000DEAD	ROM:sub_D70C+23FE       	ANDS.W          R3, R0, #3      	R3=00000003                             	
0000DEAD	ROM:sub_D70C+2402       	BEQ             loc_FB22        	                                        	
0000DEAD	ROM:sub_D70C+2404       	SUBS            R1, R1, R3      	R1=00000004 C=1                         	
0000DEAD	ROM:sub_D70C+2406       	BCC             loc_FB54        	                                        	
0000DEAD	ROM:sub_D70C+2408       	LSLS            R3, R3, #0x1F   	R3=80000000 N=1                         	
0000DEAD	ROM:sub_D70C+240A       	IT MI                           	IT[3:2]=2 IT[7:4]=4                     	
0000DEAD	ROM:sub_D70C+240C       	STRBMI.W        R2, [R0,#-1]!   	R0=20000DAE IT[3:2]=0 IT[7:4]=0         	
0000DEAD	ROM:sub_D70C+2410       	IT CS                           	IT[3:2]=2 IT[7:4]=2                     	
0000DEAD	ROM:sub_D70C+2412       	STRHCS.W        R2, [R0,#-2]!   	R0=20000DAC IT[3:2]=0 IT[7:4]=0         	
0000DEAD	ROM:sub_D70C:loc_FB22   	MOVS            R3, R2          	R3=00000000 Z=1 N=0                     	
0000DEAD	ROM:sub_D70C+2418       	PUSH            {R4,R5}         	SP=20001380 MSP=20001380                	
0000DEAD	ROM:sub_D70C+241A       	MOV             R4, R2          	R4=00000000                             	
0000DEAD	ROM:sub_D70C+241C       	MOV             R5, R2          	R5=00000000                             	
0000DEAD	ROM:sub_D70C:loc_FB2A   	SUBS            R1, #0x10       	R1=FFFFFFF4 C=0 Z=0 N=1                 	
0000DEAD	ROM:sub_D70C+2420       	IT CS                           	IT[3:2]=2 IT[7:4]=2                     	
0000DEAD	ROM:sub_D70C+2422       	STMDBCS.W       R0!, {R2-R5}    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D70C+2426       	BHI             loc_FB2A        	                                        	
0000DEAD	ROM:sub_D70C+2428       	LSLS            R1, R1, #0x1D   	R1=80000000                             	
0000DEAD	ROM:sub_D70C+242A       	IT CS                           	IT[3:2]=2 IT[7:4]=2                     	
0000DEAD	ROM:sub_D70C+242C       	STMDBCS.W       R0!, {R2,R3}    	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D70C+2430       	IT MI                           	IT[3:2]=2 IT[7:4]=4                     	
0000DEAD	ROM:sub_D70C+2432       	STRMI.W         R2, [R0,#-4]!   	R0=20000DA8 IT[3:2]=0 IT[7:4]=0         	
0000DEAD	ROM:sub_D70C+2436       	LSLS            R1, R1, #2      	R1=00000000 Z=1 N=0                     	
0000DEAD	ROM:sub_D70C+2438       	IT CS                           	IT[3:2]=2 IT[7:4]=2                     	
0000DEAD	ROM:sub_D70C+243A       	STRHCS.W        R2, [R0,#-2]!   	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D70C+243E       	IT MI                           	IT[3:2]=2 IT[7:4]=4                     	
0000DEAD	ROM:sub_D70C+2440       	STRBMI.W        R2, [R0,#-1]!   	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_D70C+2444       	POP             {R4,R5}         	R4=20000DA8 R5=400F1000 SP=20001388 MSP=20001388	
0000DEAD	ROM:sub_D70C+2446       	BX              LR              	                                        	
0000DEAD	ROM:sub_B0D2+9C         	MOVS            R0, #1          	R0=00000001 Z=0                         	
0000DEAD	ROM:sub_B0D2+9E         	STRB            R0, [R4,#(unk_20000DAF - 0x20000DA8)]	                                        	
0000DEAD	ROM:sub_B0D2+A0         	BL              sub_C214        	LR=0000B177                             	
0000DEAD	ROM:sub_C214            	PUSH            {R4,LR}         	SP=20001380 MSP=20001380                	
0000DEAD	ROM:sub_C214+2          	ADR.W           R0, unk_C2A0    	R0=0000C2A0                             	
0000DEAD	ROM:sub_C214+6          	ADR.W           R1, unk_C2AC    	R1=0000C2AC                             	
0000DEAD	ROM:sub_C214+A          	LDRD.W          R2, R3, [R0]    	R2=00020102 R3=00000018                 	
0000DEAD	ROM:sub_C214+E          	SUB             SP, SP, #0x18   	SP=20001368 MSP=20001368                	
0000DEAD	ROM:sub_C214+10         	ADR.W           R0, dword_C2A8  	R0=0000C2A8                             	
0000DEAD	ROM:sub_C214+14         	LDR             R0, [R0]        	R0=00108080                             	
0000DEAD	ROM:sub_C214+16         	STR             R0, [SP,#0x20+var_20]	                                        	
0000DEAD	ROM:sub_C214+18         	STRD.W          R2, R3, [SP,#0x20+var_10]	                                        	
0000DEAD	ROM:sub_C214+1C         	ADD             R0, SP, #0x20+var_1C	R0=2000136C                             	
0000DEAD	ROM:sub_C214+1E         	LDM             R1!, {R2-R4}    	R1=0000C2B8 R2=00000000 R3=0000003C R4=00000000	
0000DEAD	ROM:sub_C214+20         	STM             R0!, {R2-R4}    	R0=20001378                             	
0000DEAD	ROM:sub_C214+22         	ADD             R0, SP, #0x20+var_20	R0=20001368                             	
0000DEAD	ROM:sub_C214+24         	STR             R0, [SP,#0x20+var_1C]	                                        	
0000DEAD	ROM:sub_C214+26         	ADD             R2, SP, #0x20+var_10	R2=20001378                             	
0000DEAD	ROM:sub_C214+28         	LDR             R4, =unk_20000DA0	R4=20000DA0                             	
0000DEAD	ROM:sub_C214+2A         	LDR             R1, =0x40038000 	R1=40038000                             	
0000DEAD	ROM:sub_C214+2C         	MOV             R0, R4          	R0=20000DA0                             	
0000DEAD	ROM:sub_C214+2E         	BL              sub_F4B8        	LR=0000C247                             	
0000DEAD	ROM:sub_F4B8            	PUSH            {R4-R6,LR}      	SP=20001358 MSP=20001358                	
0000DEAD	ROM:sub_F4B8+2          	MOV             R4, R0          	                                        	
0000DEAD	ROM:sub_F4B8+4          	MOV             R5, R1          	R5=40038000                             	
0000DEAD	ROM:sub_F4B8+6          	MOV             R6, R2          	R6=20001378                             	
0000DEAD	ROM:sub_F4B8+8          	STR             R5, [R4]        	                                        	
0000DEAD	ROM:sub_F4B8+A          	STR             R6, [R4,#4]     	                                        	
0000DEAD	ROM:sub_F4B8+C          	MOV             R0, R5          	R0=40038000                             	
0000DEAD	ROM:sub_F4B8+E          	BL              sub_CF3A        	SP=20001348 LR=0000F4CB C=1 Z=1 MSP=20001348	
0000DEAD	ROM:sub_CF3A:loc_D18C   	MOVS            R0, #0xC        	R0=0000000C Z=0                         	
0000DEAD	ROM:sub_CF3A+254        	B               loc_D0EC        	                                        	
0000DEAD	ROM:sub_CF3A:loc_D0EC   	POP.W           {R4-R6,LR}      	SP=20001358 MSP=20001358                	
0000DEAD	ROM:sub_CF3A+1B6        	B               sub_CD82        	                                        	
0000DEAD	ROM:sub_CD82            	PUSH            {R4-R7,LR}      	SP=20001344 MSP=20001344                	
0000DEAD	ROM:sub_CD82+2          	MOV             R4, R0          	R4=0000000C                             	
0000DEAD	ROM:sub_CD82+4          	MRS.W           R0, PRIMASK     	R0=00000000                             	
0000DEAD	ROM:sub_CD82+8          	SUBS            R7, R0, #1      	R7=FFFFFFFF C=0 N=1                     	
0000DEAD	ROM:sub_CD82+A          	SBCS            R7, R7          	                                        	
0000DEAD	ROM:sub_CD82+C          	SUB             SP, SP, #4      	SP=20001340 MSP=20001340                	
0000DEAD	ROM:sub_CD82+E          	LSRS            R7, R7, #0x1F   	R7=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CD82+10         	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CD82+12         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CD82+16         	LDR.W           R5, =unk_200003A5	R5=200003A5                             	
0000DEAD	ROM:sub_CD82+1A         	LDR.W           R6, =unk_400E0028	R6=400E0028                             	
0000DEAD	ROM:sub_CD82+1E         	MOVS            R0, #0          	Z=1                                     	
0000DEAD	ROM:sub_CD82+20         	STRB            R0, [R5]        	                                        	
0000DEAD	ROM:sub_CD82+22         	LDR             R0, [R6]        	                                        	
0000DEAD	ROM:sub_CD82+24         	CBNZ            R0, loc_CDB0    	                                        	
0000DEAD	ROM:sub_CD82+26         	MOVS            R1, #5          	R1=00000005 Z=0                         	
0000DEAD	ROM:sub_CD82+28         	MOVS            R0, #1          	R0=00000001                             	
0000DEAD	ROM:sub_CD82+2A         	BL              sub_CCE4        	R1=000001E2 R2=00000000 R3=200003A5 LR=0000CDB1 C=0	
0000DEAD	ROM:sub_CD82:loc_CDB0   	CBZ             R7, loc_CDBC    	                                        	
0000DEAD	ROM:sub_CD82+30         	MOVS            R0, #1          	                                        	
0000DEAD	ROM:sub_CD82+32         	STRB            R0, [R5]        	                                        	
0000DEAD	ROM:sub_CD82+34         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CD82+38         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CD82:loc_CDBC   	MRS.W           R0, PRIMASK     	R0=00000000                             	
0000DEAD	ROM:sub_CD82+3E         	SUBS            R0, R0, #1      	R0=FFFFFFFF N=1                         	
0000DEAD	ROM:sub_CD82+40         	SBCS            R0, R0          	                                        	
0000DEAD	ROM:sub_CD82+42         	LSRS            R0, R0, #0x1F   	R0=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CD82+44         	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CD82+46         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CD82+4A         	MOVS            R1, #0          	R1=00000000 Z=1                         	
0000DEAD	ROM:sub_CD82+4C         	STRB            R1, [R5]        	                                        	
0000DEAD	ROM:sub_CD82+4E         	LDR.W           R2, =0xAA000028 	R2=AA000028                             	
0000DEAD	ROM:sub_CD82+52         	LDR             R1, [R6]        	                                        	
0000DEAD	ROM:sub_CD82+54         	STR             R2, [R6,#(unk_400E0058 - 0x400E0028)]	                                        	
0000DEAD	ROM:sub_CD82+56         	MOVS            R2, #1          	R2=00000001 Z=0                         	
0000DEAD	ROM:sub_CD82+58         	LSLS            R2, R4          	R2=00001000 C=0                         	
0000DEAD	ROM:sub_CD82+5A         	ORRS            R1, R2          	R1=00001000                             	
0000DEAD	ROM:sub_CD82+5C         	STR             R1, [R6]        	                                        	
0000DEAD	ROM:sub_CD82+5E         	CBZ             R0, loc_CDEC    	                                        	
0000DEAD	ROM:sub_CD82+60         	MOVS            R0, #1          	                                        	
0000DEAD	ROM:sub_CD82+62         	STRB            R0, [R5]        	                                        	
0000DEAD	ROM:sub_CD82+64         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CD82+68         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CD82:loc_CDEC   	ADD             SP, SP, #4      	SP=20001344 MSP=20001344                	
0000DEAD	ROM:sub_CD82+6C         	POP             {R4-R7,PC}      	R4=20000DA0 R5=40038000 R6=20001378 R7=00000000 SP=20001358 MSP=20001358	
0000DEAD	ROM:sub_F4B8+12         	MOV             R1, R6          	R1=20001378                             	
0000DEAD	ROM:sub_F4B8+14         	MOV             R0, R4          	R0=20000DA0                             	
0000DEAD	ROM:sub_F4B8+16         	BL              sub_F4DC        	LR=0000F4D3                             	
0000DEAD	ROM:sub_F4DC            	LDR             R0, [R0]        	R0=40038000                             	
0000DEAD	ROM:sub_F4DC+2          	MOVS            R2, #1          	R2=00000001                             	
0000DEAD	ROM:sub_F4DC+4          	STR             R2, [R0]        	                                        	
0000DEAD	ROM:sub_F4DC+6          	LDRB            R3, [R1,#2]     	R3=00000002                             	
0000DEAD	ROM:sub_F4DC+8          	LDRB            R2, [R1,#3]     	R2=00000000                             	
0000DEAD	ROM:sub_F4DC+A          	LSLS            R2, R2, #1      	Z=1                                     	
0000DEAD	ROM:sub_F4DC+C          	LSLS            R3, R3, #4      	R3=00000020 Z=0                         	
0000DEAD	ROM:sub_F4DC+E          	AND.W           R2, R2, #0xE    	                                        	
0000DEAD	ROM:sub_F4DC+12         	AND.W           R3, R3, #0x30   	                                        	
0000DEAD	ROM:sub_F4DC+16         	ORRS            R2, R3          	R2=00000020                             	
0000DEAD	ROM:sub_F4DC+18         	LDRB            R3, [R1]        	R3=00000002                             	
0000DEAD	ROM:sub_F4DC+1A         	LSLS            R3, R3, #8      	R3=00000200                             	
0000DEAD	ROM:sub_F4DC+1C         	AND.W           R3, R3, #0x700  	                                        	
0000DEAD	ROM:sub_F4DC+20         	ORRS            R2, R3          	R2=00000220                             	
0000DEAD	ROM:sub_F4DC+22         	STR             R2, [R0,#4]     	                                        	
0000DEAD	ROM:sub_F4DC+24         	LDRB            R2, [R1,#1]     	R2=00000001                             	
0000DEAD	ROM:sub_F4DC+26         	CBZ             R2, loc_F50E    	                                        	
0000DEAD	ROM:sub_F4DC+28         	LDR             R2, [R0,#4]     	R2=00000220                             	
0000DEAD	ROM:sub_F4DC+2A         	ORR.W           R2, R2, #0x40   	R2=00000260                             	
0000DEAD	ROM:sub_F4DC+2E         	STR             R2, [R0,#4]     	                                        	
0000DEAD	ROM:sub_F4DC+30         	B               loc_F516        	                                        	
